onset	duration	gain
4.051	4	12
12.234	4	40
21.83	4	10
27.43	4	20
35.33	4	16
41.53	4	24
46.73	4	16
52.23	4	22
57.83	4	36
66.931	4	28
75.331	4	22
81.933	4	38
88.831	4	32
94.532	4	32
100.133	4	24
107.034	4	16
114.035	4	22
119.832	4	36
126.032	4	12
133.832	4	10
139.331	4	30
144.732	4	26
150.432	4	28
158.032	4	40
165.732	4	30
173.132	4	34
182.032	4	22
191.733	4	38
196.936	4	32
204.735	4	16
214.633	4	10
222.033	4	20
228.633	4	18
233.833	4	30
239.935	4	14
246.633	4	14
252.633	4	26
258.334	4	36
267.134	4	28
272.634	4	28
278.434	4	34
285.934	4	28
294.834	4	38
299.935	4	24
309.036	4	38
317.034	4	32
324.635	4	36
330.735	4	38
338.335	4	10
347.335	4	12
356.635	4	18
362.735	4	38
370.135	4	32
379.435	4	20
385.635	4	34
390.635	4	24
395.736	4	20
401.236	4	10
407.737	4	16
415.838	4	30
421.723	4	14
426.724	4	20
432.124	4	20
441.026	4	34
4.05	4	16
9.033	4	34
17.835	4	26
23.836	4	40
30.03	4	14
36.933	4	26
44.331	4	40
53.231	4	36
58.935	4	22
65.031	4	10
70.631	4	18
79.632	4	16
89.532	4	10
96.032	4	30
104.033	4	16
111.034	4	18
116.735	4	36
122.332	4	18
129.032	4	38
134.532	4	18
143.632	4	30
148.732	4	32
154.533	4	12
160.233	4	28
165.233	4	12
171.433	4	24
181.033	4	24
188.433	4	30
197.333	4	40
205.134	4	24
210.937	4	32
218.537	4	34
223.933	4	12
231.834	4	20
237.934	4	12
245.434	4	12
253.634	4	26
261.434	4	20
269.034	4	32
274.934	4	16
281.034	4	40
286.634	4	20
291.834	4	10
299.935	4	34
305.135	4	20
313.536	4	26
319.038	4	16
325.935	4	36
331.435	4	40
336.635	4	24
345.735	4	36
350.835	4	18
360.136	4	28
367.536	4	16
376.836	4	38
382.236	4	30
388.836	4	24
396.536	4	22
402.036	4	34
410.921	4	28
418.522	4	30
425.123	4	14
434.824	4	30
441.026	4	40
4.044	4	38
9.626	4	10
16.326	4	38
23.326	4	40
29.926	4	16
39.827	4	36
49.528	4	10
55.229	4	36
60.23	4	22
66.331	4	18
74.432	4	24
80.633	4	10
89.535	4	14
97.527	4	14
106.528	4	16
115.628	4	12
123.028	4	14
129.528	4	24
137.928	4	34
143.628	4	14
152.929	4	18
160.831	4	28
166.332	4	14
172.933	4	32
178.534	4	20
186.135	4	26
195.029	4	26
200.129	4	32
207.029	4	40
214.829	4	32
223.629	4	30
229.13	4	12
236.73	4	36
241.93	4	36
247.73	4	40
253.13	4	18
258.631	4	30
266.032	4	34
271.233	4	12
276.334	4	10
282.235	4	24
291.33	4	34
296.931	4	22
306.531	4	32
312.631	4	22
318.131	4	24
324.331	4	10
332.031	4	22
338.931	4	28
347.831	4	30
352.831	4	36
360.232	4	38
368.034	4	28
375.535	4	20
381.336	4	22
390.632	4	32
396.832	4	22
402.032	4	26
408.032	4	32
414.132	4	28
421.732	4	20
427.432	4	40
432.832	4	40
441.033	4	16
4.061	4	10
9.427	4	30
15.028	4	26
20.929	4	18
26.13	4	34
33.532	4	26
41.133	4	36
46.834	4	38
52.635	4	24
60.727	4	26
66.227	4	34
71.427	4	38
79.327	4	38
84.427	4	30
92.127	4	14
99.527	4	34
104.527	4	18
109.528	4	24
115.129	4	40
124.031	4	12
131.032	4	18
139.934	4	16
147.535	4	14
154.428	4	30
160.628	4	20
169.93	4	38
175.628	4	40
182.329	4	14
187.729	4	38
193.229	4	22
200.129	4	12
205.829	4	10
212.43	4	14
219.831	4	26
225.632	4	34
230.733	4	40
238.534	4	28
246.736	4	12
255.53	4	32
264.53	4	10
272.93	4	20
279.03	4	22
288.13	4	26
295.63	4	28
301.13	4	14
307.33	4	18
313.531	4	18
319.132	4	18
325.733	4	26
331.834	4	28
337.335	4	22
345.131	4	34
354.831	4	24
361.331	4	16
370.431	4	20
380.331	4	28
389.232	4	26
394.432	4	12
402.432	4	12
408.432	4	22
417.733	4	36
423.834	4	36
431.435	4	14
441.032	4	32
