onset	duration	loss
4.047	4	11
9.736	4	9
14.836	4	13
21.832	4	9
27.333	4	18
34.936	4	7
41.436	4	17
49.12	4	14
55.321	4	20
62.723	4	11
67.923	4	9
73.424	4	10
81.826	4	15
87.427	4	8
93.128	4	5
101.23	4	17
109.131	4	16
116.732	4	10
122.133	4	13
127.834	4	12
134.038	4	8
140.922	4	19
149.821	4	7
158.023	4	12
163.024	4	7
168.225	4	11
173.825	4	15
179.026	4	9
185.728	4	8
194.529	4	14
202.331	4	18
209.732	4	14
219.034	4	8
224.834	4	14
230.235	4	15
236.322	4	18
245.223	4	17
254.323	4	15
259.324	4	12
266.225	4	20
275.526	4	13
285.428	4	9
293.23	4	8
299.831	4	5
307.332	4	18
313.533	4	20
319.534	4	18
328.436	4	15
337.524	4	5
345.524	4	11
353.124	4	11
358.224	4	18
367.929	4	15
373.427	4	16
379.028	4	5
388.63	4	7
397.631	4	19
405.033	4	20
410.834	4	5
416.936	4	5
423.036	4	20
428.525	4	16
435.125	4	6
441.026	4	9
4.051	4	18
10.734	4	19
19.636	4	10
28.734	4	18
34.834	4	6
41.033	4	12
50.934	4	14
59.734	4	8
66.734	4	7
75.134	4	9
82.734	4	12
90.235	4	17
95.734	4	17
103.135	4	14
109.735	4	12
117.536	4	8
123.537	4	8
130.935	4	18
137.835	4	5
147.535	4	17
153.735	4	7
163.336	4	12
168.936	4	7
174.036	4	19
179.736	4	16
187.436	4	16
192.936	4	20
198.136	4	11
203.536	4	6
208.736	4	11
213.92	4	19
219.821	4	13
225.422	4	12
231.123	4	15
238.724	4	16
247.726	4	8
253.827	4	7
259.228	4	13
266.829	4	16
275.031	4	20
282.832	4	13
287.833	4	17
293.534	4	16
302.638	4	10
308.121	4	6
317.022	4	19
322.522	4	6
330.424	4	6
336.025	4	13
344.126	4	11
350.727	4	19
360.029	4	15
368.931	4	15
375.032	4	14
380.032	4	11
386.234	4	19
391.335	4	9
397.836	4	12
405.223	4	6
412.123	4	9
417.922	4	17
427.224	4	5
435.226	4	10
441.027	4	16
4.043	4	19
12.935	4	13
21.135	4	19
27.335	4	14
33.135	4	5
38.335	4	13
47.635	4	12
57.336	4	15
66.236	4	7
71.437	4	6
80.339	4	10
86.023	4	5
94.825	4	18
102.927	4	14
108.627	4	6
114.728	4	5
122.329	4	17
130.131	4	9
135.732	4	8
144.733	4	7
150.137	4	18
156.837	4	14
163.721	4	20
168.721	4	17
174.622	4	12
179.723	4	20
185.824	4	9
192.425	4	17
198.226	4	15
205.827	4	15
212.029	4	9
218.03	4	7
225.831	4	12
233.732	4	16
238.733	4	17
244.234	4	10
250.835	4	17
256.422	4	11
262.122	4	10
269.622	4	11
278.724	4	13
284.224	4	10
291.626	4	13
301.228	4	12
306.729	4	13
316.63	4	14
324.032	4	8
332.433	4	6
339.834	4	5
349.136	4	6
357.123	4	19
362.523	4	20
369.024	4	9
374.224	4	10
380.425	4	18
386.026	4	5
391.527	4	20
398.528	4	13
403.629	4	20
412.73	4	16
420.332	4	7
426.433	4	5
433.334	4	11
441.035	4	13
4.048	4	14
12.13	4	20
17.231	4	6
23.73	4	9
29.53	4	6
36.23	4	17
41.631	4	18
50.531	4	14
56.031	4	11
63.631	4	8
71.031	4	15
76.132	4	14
84.033	4	18
93.135	4	5
99.336	4	7
106.331	4	11
112.932	4	16
120.332	4	10
127.932	4	13
137.032	4	11
142.232	4	17
151.232	4	20
159.432	4	20
164.932	4	19
170.133	4	8
175.533	4	16
181.233	4	20
190.135	4	10
195.636	4	14
201.733	4	12
206.733	4	18
212.433	4	19
219.033	4	17
225.933	4	8
235.633	4	8
240.833	4	6
247.034	4	18
255.934	4	12
263.734	4	9
269.934	4	10
275.734	4	15
285.035	4	14
291.136	4	19
300.734	4	13
306.634	4	16
314.235	4	15
320.235	4	10
328.635	4	11
334.135	4	7
341.635	4	19
346.635	4	6
354.335	4	8
363.635	4	6
369.235	4	7
376.636	4	16
382.236	4	10
391.037	4	7
400.939	4	15
406.636	4	16
414.624	4	10
420.225	4	9
428.027	4	5
434.93	4	12
441.029	4	19
