onset	duration	loss
4.05	4	14
10.234	4	9
16.734	4	8
23.636	4	14
32.425	4	8
37.925	4	5
45.525	4	8
54.525	4	10
61.926	4	19
67.627	4	10
72.628	4	20
81.929	4	20
87.13	4	16
94.831	4	10
100.832	4	8
107.734	4	20
112.735	4	14
121.626	4	18
128.226	4	12
133.726	4	5
139.926	4	7
145.826	4	20
151.326	4	9
157.126	4	20
166.027	4	8
172.128	4	6
180.53	4	5
187.531	4	12
192.932	4	11
201.034	4	10
207.235	4	17
216.336	4	14
224.227	4	15
234.128	4	6
242.328	4	7
252.028	4	13
257.428	4	20
266.328	4	5
273.73	4	9
279.231	4	13
285.331	4	16
291.433	4	9
296.534	4	8
302.235	4	14
309.636	4	19
315.229	4	17
322.829	4	17
328.529	4	12
336.029	4	10
341.229	4	19
348.829	4	13
356.829	4	17
364.63	4	6
371.33	4	15
376.431	4	19
382.232	4	14
388.833	4	13
396.635	4	7
405.936	4	9
411.53	4	9
416.73	4	9
422.33	4	18
431.931	4	14
441.031	4	15
4.038	4	5
12.037	4	15
17.638	4	20
26.921	4	16
32.622	4	10
41.523	4	9
49.125	4	15
56.026	4	9
62.527	4	7
68.228	4	18
77.03	4	20
82.631	4	7
88.132	4	16
95.934	4	6
101.534	4	12
106.535	4	8
115.623	4	18
123.023	4	13
128.122	4	11
137.024	4	18
144.425	4	16
151.026	4	7
156.427	4	11
164.529	4	10
172.13	4	16
181.031	4	16
187.935	4	17
193.634	4	14
199.735	4	11
204.937	4	5
213.324	4	10
218.824	4	19
224.824	4	18
233.824	4	16
240.025	4	11
247.926	4	6
257.028	4	11
263.729	4	7
269.23	4	8
275.331	4	15
280.732	4	7
288.934	4	18
294.435	4	11
299.636	4	8
304.625	4	17
314.325	4	12
320.125	4	7
326.026	4	15
333.726	4	18
341.326	4	19
347.427	4	13
352.528	4	8
358.329	4	18
364.93	4	11
370.131	4	20
379.733	4	15
385.934	4	18
395.236	4	6
402.627	4	6
410.127	4	20
417.927	4	14
424.127	4	12
434.027	4	15
441.027	4	11
4.042	4	6
9.133	4	12
14.634	4	14
21.634	4	5
26.834	4	19
32.934	4	10
40.434	4	5
47.834	4	19
57.134	4	19
62.134	4	7
70.938	4	6
80.537	4	11
87.135	4	5
92.635	4	19
100.235	4	17
109.335	4	6
114.835	4	13
120.235	4	11
128.335	4	8
136.736	4	13
143.236	4	7
150.936	4	9
158.536	4	14
168.236	4	8
174.437	4	11
180.138	4	10
186.239	4	12
192.024	4	19
201.125	4	14
207.726	4	19
213.327	4	5
219.228	4	18
227.23	4	16
233.031	4	13
242.032	4	8
249.834	4	14
255.537	4	12
262.238	4	12
269.121	4	9
276.922	4	5
284.323	4	15
291.224	4	13
299.126	4	17
306.527	4	18
312.728	4	17
320.931	4	10
325.932	4	16
334.832	4	16
340.333	4	14
349.635	4	14
354.736	4	9
363.622	4	18
369.222	4	17
378.123	4	5
384.124	4	17
394.026	4	12
400.227	4	15
407.828	4	20
413.931	4	12
419.13	4	15
424.531	4	6
430.232	4	9
435.433	4	5
441.034	4	19
4.05	4	19
13.334	4	20
20.736	4	20
26.322	4	7
35.422	4	16
42.122	4	11
47.824	4	18
54.025	4	10
61.626	4	16
69.727	4	9
77.229	4	11
84.23	4	19
92.031	4	17
98.033	4	10
103.833	4	16
108.834	4	5
117.636	4	13
125.823	4	9
134.723	4	20
140.223	4	6
147.825	4	12
157.726	4	13
163.127	4	17
170.028	4	13
176.23	4	13
181.933	4	7
187.832	4	14
193.033	4	7
199.134	4	5
207.135	4	18
213.236	4	6
220.925	4	5
226.525	4	20
233.125	4	20
239.225	4	15
253.426	4	10
260.028	4	8
265.028	4	7
270.529	4	6
277.031	4	16
283.935	4	13
289.433	4	8
298.334	4	19
307.626	4	17
316.526	4	17
321.726	4	15
331.426	4	12
338.827	4	18
344.027	4	6
351.627	4	10
360.629	4	6
366.43	4	8
371.531	4	12
377.032	4	13
386.633	4	17
394.535	4	11
399.936	4	15
405.528	4	10
411.228	4	11
418.628	4	12
426.428	4	7
432.628	4	16
441.028	4	9
