onset	duration	gain
4.044	4	5
9.126	4	20
15.328	4	19
23.129	4	7
30.73	4	6
39.632	4	18
45.133	4	18
50.834	4	17
58.235	4	17
67.326	4	7
72.327	4	11
78.527	4	13
84.127	4	8
93.027	4	15
98.927	4	17
107.027	4	15
113.928	4	8
121.33	4	11
126.53	4	20
132.231	4	9
139.632	4	14
145.734	4	5
151.435	4	11
156.435	4	15
164.428	4	8
173.328	4	14
178.828	4	14
187.228	4	19
193.828	4	11
202.929	4	11
212.228	4	5
218.029	4	5
223.631	4	10
231.332	4	9
237.833	4	10
243.034	4	14
250.035	4	14
255.429	4	7
260.829	4	17
267.729	4	10
277.03	4	18
284.93	4	12
292.53	4	19
297.73	4	12
302.83	4	16
308.83	4	12
314.33	4	7
320.431	4	11
326.232	4	5
332.433	4	13
342.035	4	11
347.636	4	18
353.131	4	6
361.331	4	6
368.83	4	18
378.731	4	16
388.431	4	12
396.231	4	6
405.031	4	14
411.731	4	20
418.332	4	20
424.433	4	14
433.434	4	16
441.036	4	13
4.049	4	19
10.231	4	12
15.43	4	19
21.431	4	5
31.031	4	10
38.532	4	6
47.534	4	9
55.135	4	6
60.936	4	16
66.632	4	5
72.132	4	16
77.731	4	9
84.632	4	20
90.032	4	8
99.932	4	20
109.232	4	18
115.933	4	7
121.032	4	17
126.033	4	15
132.132	4	19
138.733	4	6
144.634	4	17
150.435	4	9
156.136	4	5
165.033	4	19
172.633	4	7
177.833	4	13
183.033	4	12
190.734	4	19
200.434	4	18
208.233	4	12
215.634	4	12
221.734	4	8
227.234	4	5
234.634	4	15
240.134	4	11
245.135	4	14
250.236	4	16
258.337	4	9
264.434	4	14
271.335	4	13
276.94	4	6
284.335	4	19
289.943	4	11
298.835	4	10
307.235	4	14
314.835	4	14
323.735	4	15
332.836	4	8
339.435	4	8
345.136	4	16
351.337	4	18
359.538	4	17
366.036	4	10
374.036	4	12
381.826	4	11
391.127	4	14
396.528	4	6
402.729	4	13
410.631	4	19
419.733	4	18
428.537	4	8
434.037	4	16
441.037	4	11
4.05	4	13
9.433	4	8
16.434	4	9
25.536	4	8
32.229	4	5
39.629	4	5
44.83	4	7
50.33	4	6
59.229	4	11
65.73	4	20
71.83	4	13
77.03	4	6
82.53	4	17
88.031	4	12
94.232	4	7
102.633	4	8
110.734	4	16
116.436	4	20
125.731	4	12
132.33	4	14
139.231	4	9
146.131	4	10
152.131	4	13
157.231	4	9
163.131	4	10
168.631	4	6
173.631	4	20
181.131	4	13
189.332	4	13
198.633	4	15
206.234	4	10
212.036	4	17
219.934	4	15
225.132	4	13
230.732	4	7
239.532	4	14
244.935	4	5
253.935	4	7
259.533	4	9
267.533	4	9
273.733	4	15
279.533	4	9
287.133	4	19
292.233	4	5
297.935	4	5
304.035	4	17
309.036	4	20
314.733	4	20
320.833	4	13
329.933	4	12
336.534	4	20
345.434	4	17
351.633	4	8
357.234	4	9
365.034	4	16
373.934	4	20
383.534	4	15
391.134	4	12
398.535	4	9
408.437	4	17
415.838	4	19
423.634	4	19
433.335	4	13
441.035	4	17
4.049	4	18
9.832	4	11
15.632	4	11
20.733	4	12
29.634	4	17
39.536	4	7
45.032	4	8
52.532	4	15
58.432	4	9
64.032	4	18
69.033	4	20
74.532	4	10
82.733	4	7
87.933	4	10
96.833	4	7
102.533	4	10
109.133	4	13
116.833	4	15
125.935	4	20
132.135	4	6
145.134	4	10
151.834	4	18
157.234	4	17
165.634	4	5
173.734	4	15
179.334	4	8
186.934	4	6
192.435	4	19
198.135	4	14
205.935	4	19
212.035	4	7
218.135	4	7
227.436	4	10
237.037	4	7
242.235	4	10
247.635	4	8
255.436	4	5
264.235	4	20
269.736	4	18
278.636	4	18
284.635	4	6
292.636	4	8
298.336	4	12
303.536	4	16
310.938	4	16
318.836	4	12
323.836	4	15
331.237	4	9
337.338	4	15
343.923	4	16
350.824	4	6
357.325	4	13
366.427	4	16
373.328	4	18
379.529	4	19
385.73	4	14
392.732	4	11
401.733	4	10
411.034	4	11
418.638	4	16
423.721	4	15
433.421	4	18
441.023	4	16
